idioms,meaning
Dead ringer,An exact duplicate.
Dead white European male,Derogatory reference to someone who has an unjustified reputation.
Designated driver,Someone who agrees not to drink alcohol at a social event in order to be sober enough to drive others home.
Dial down,1. Adjust a device to reduce sound or temperature. 2. Reduce one's emotional reaction to something.
Dicky Dirt,Cockney rhyming slang for shirt.
Discussing Uganda,Euphemism for sex.
Dog and bone,Cockney rhyming slang for telephone.
Dog days of summer,The hottest days of the summer season.
Donkey's years,1. Cockney rhyming slang for ears. 2. A very long time.
Don't bite the hand that feeds you,Don't hurt someone that helps you.
Don't count your chickens before they hatch,Don't count on receiving some benefit until you actually have it.
Don't cry over spilt milk,Don't fret pointlessly about some mistake or loss when it can't be remedied.
Don't give up the day job,Said to someone who is a poor performer at a task - suggesting that they wouldn't be able to succeed at it professionally.
Don't look a gift horse in the mouth,When you receive a gift accept it with good grace and don't find fault with it.
Don't put all your eggs in one basket,Don't risk all your property on a single venture.
Double denim,Denim jeans worn with a denim shirt or jacket.
Double header,A sports expression denoting two events held at the same time.
Down to the wire,Not decided until the very last minute.
Dressed to the nines,"Very smartly dressed, in one's best clothes."
Drink like a fish,Drink very heavily.
Drive someone up the wall,Irritate or annoy very much.
Dropping like flies,Many people either falling ill or dying.
Dry run,A rehearsal.
Duvet day,A work day which an employee is allowed to spend at home relaxing.
Ear popping,Sound that is loud or that catches the attention.
Easy-peasy,Something that is extremely easy. Often used by children. Sometimes used by adults to demote an achievement that was accomplished with little apparent effort.
Eighty six,Referring to an item on a menu that is no longer available.
Elbow grease,"Energetic labour, especially in the polishing of household items."
Elephant's trunk,Cockney rhyming slang for drunk.
Elvis has left the building,The primary performer has left. There's no point waiting around.
Enhanced interrogation techniques,Euphemism for torture.
Ethnic cleansing,The singling out and killing of a specific ethnic group.
Every cloud has a silver lining,An encouragement to be optimistic. Even bad events have a good side to them.
Everything but the kitchen sink,Everything imaginable.
Evil twin,"An imaginary double, humorously referred to in order to explain the uncharacteristic bad behaviour of a normally moral person. Usually used light-heartedly. The expression formed as an allusion to plots in films involving actual evil twins."
Excuse my French,Please forgive me for swearing.
Eyebrow raising,Something that creates shock or surprise.
Face card,The jack queen or king in a set of playing cards.
Face the music,Accept he unwelcome consequences of one's own actions.
Factory farming,Rearing livestock under industrial conditions.
Fairytale ending,A happy simplistic ending to a story similar to those found in fairy tales.
Far cry from,Very different from.
Feeding frenzy,A frantic competition or exploitation - like a group shark attack.
Fell off the back of a lorry,A coy reference to an item that has been stolen.
Field day,A day noted for remarkable or exciting events.
Fiddlesticks,An exclamation meaning 1. Nonsense; rubbish. 2. An indication of mild annoyance.
Find your feet,To become conscious of and develop one's expertise.
Fire the imagination,Inspire with enthusiasm.
First among equals,The most senior person in a group of equal rank.
First footing,Making a round of visits at New Year.
First World problem,A relatively trivial problem only affecting the affluent.
First World,The industrialised affluent and wealthy nations.
Fixed in your ways,Unwilling to change from your habitual way of doing things.
Flea market,A market used to buy and sell inexpensive goods. The kind of place that might sell carpets infested with fleas.
Flea pit,A downmarket cinema - allegedly verminous.
Flesh and blood,1 - One's family. 2 - the bodily stuff we are made of.
Flip the bird,To aggressively raise your middle finger at someone as a sign of displeasure.
Flog a dead horse,To attempt to make progress with something that has no future.
Flotsam and jetsam,Assorted bits and pieces of rubbish; especially items that are found in the sea.
Foam at the mouth,To show vehement rage.
Food fight,Chaotic collective behaviour where items of food are thrown about wildly.
Fools' gold,"Something that appears valuable but really isn't, like iron pyrites - a worthless mineral that resembles gold."
Frock up,Wear a smart or formal dress for a special occasion.
Frog and toad,Cockney rhyming slang for road.
Fuddy-duddy,An old-fashioned and foolish type of person.
Full monty,Everything possible. The whole thing.
Full of bull,Talking hot air.
Funny farm,A mental hospital.
Gee gee,Childish term for a horse.
Gender bender,"A person who adopts a deliberately androgynous appearance, by use of uni-sex make-up, hair-style and clothing. Probably influenced by 'bender' being an earlier slang term for homosexual."
George Raft,Cockney rhyming slang for daft.
Get a gold star,Earn a merit point for doing well.
Get down to brass tacks,Concern yourself with the basic and important realities.
Get off on the wrong foot,Make a bad start in a relationship or task.
Get on board,Accept and participate with an idea or project.
Get out of hand,Become chaotic and uncontrollable.
Get out of the wrong side of the bed,
Get over it,Move beyond something that is bothering you.
Get your head around,"Understand something, especially something difficult to comprehend because it is complex or surprising."
Ginger Beer,Cockney rhyming slang for queer.
Give him an inch and he'll take a mile,allow someone a small concession and they will take advantage and try to take more.
Give the benefit of the doubt,Decide to believe a statement which isn't proven.
Give the slip,To get away from. To escape.
Glass ceiling,An unacknowledged or unseen discriminatory barrier that prevents women and minorities from rising to positions of power.
Gnat's bollock,A very small (imaginary) unit of measurement.
Go ape shit,Become excessively agitated and excited.
Go belly (or tits) up,Become badly and permanently inoperative.
Go for broke,Put every resource into getting a particular result.
Go out on a limb,Take a risk to support someone or something.
Go the extra mile,Going beyond what is usually required. Make an extra effort.
Going to hell in a handbasket,Deteriorating and headed for complete disaster.
Good Samaritan,Someone who compassionately helps another who is in need.
Graveyard shift,Working hours that extend overnight.
Greasy spoon,A small cheap cafe selling fried food.
Great minds think alike,Said ironically when two people have matching thoughts.
Great scot,Exclamation of surprise.
Gregory Peck,Cockney rhyming slang for neck.
Gut feeling,"A personal intuition, based on feeling rather than fact."
Had a good war,To have been successful during a military campaign.
Hair of the dog,"An alcoholic drink, intended to cure a hangover. It is mistakenly believed that a small measure of the same drink that made a person drunk will sober them up and cure the drinks ill effects. The expression is also used in other contexts, whenever an additional dose of whatever caused a problem is thought to be an appropriate remedy."
Half inch,Cockney rhyming slang for pinch.
Happy sad,A bittersweet feeling combining both happiness and sadness.
Harry spankers,Brand spanking new.
Has the cat got your tongue?,A question addressed to someone who is inexplicably silent. The implication is that the person's tongue is missing.
Haste makes waste,Doing things in a rush makes for a poor result.
Hat trick,A threefold feat in sports or some other activity.
Have a blast,Have an especially good time.
Have a Captain Cook,Cockney rhyming slang for look.
He makes my flesh (or skin) crawl (or creep),Said of someone who the speaker has a deep dislike of.
Head over heels,"Very excited, especially when in love."
Hear it on the grapevine,Hear rumors about something from an anonymous informal contact.
Heebie-jeebies,A state of nervous anxiety or fear.
Hell bent,Determined to achieve something at all costs.
Help yourself,Invitation to take something freely.
Hidden in plain sight,Something that defies apprehension by being too obvious.
High and mighty,Proud and arrogant.
High on the hog,Luxurious.
High season,The most popular time to visit a resort or attraction - when prices are highest.
Hit the books,"To study, especially for a test or exam."
Hit the hay,
Hit the nail on the head,Make the precise correct point.
Hit the sack,Retire to bed.
Hobson's choice,1. A choice forced upon someone. 2. Cockney rhyming slang for voice.
Hocus pocus,A term used to denote magic or trickery.
Hold your horses,Be patient.
Holy shit,An expression of extreme surprise or disbelief.
I can't be doing with it,I am unwilling to tolerate it.
I can't think straight,I'm overwhelmed and stressed and it is affecting my ability to think.
I'm good to go,I am ready to participate.
"If it's not one thing, it's another",Said after more than one thing goes wrong.
In cahoots with,"To be in a partnership with, often for unscrupulous purposes."
In a nutshell,In a few words. Concisely stated.
In like Flynn,"To be easily successful, especially concerning sex or romance."
In limbo,"In an uncertain situation, over which you have no control (a reference to the state of being outside both heaven and hell)."
In the bag,Something that is secured.
In the buff,Naked.
In the heat of the moment,"In an overwhelming situation, causing you to act rashly."
In the same boat,Jointly facing the same predicament.
In your face,Aggressive confrontation.
Inside job,A crime committed by or with the help of someone living or working in the place that it took place.
It never rains but it pours,When troubles come they often come together.
It takes two to tango,It takes two people to cause a problem between them.
It's a small world,"Said when people meet unexpectedly, away from their usual haunts."
It's all gone Pete Tong,Cockney rhyming slang for gone wrong.
It's not rocket science,Said of something that isn't complex or difficult to understand.
Ivy league,"The joint name given to Columbia, Brown, Cornell, Dartmouth, Yale, Pennsylvania, Princeton, and Harvard universities."
Jack Palancing,Cockney rhyming slang for dancing.
Jam jar,Cockney rhyming slang for car.
Jelly belly,An overweight person.
Jimmy Riddle,Cockney rhyming slang for piddle.
Joshing me,Tricking me.
Jump on the bandwagon,Join a popular trend.
Jump the shark,Introduce a ridiculous or unbelievable plot device into a TV series in order to boost flagging ratings.
Just deserts,The result which is deserved. A reward for what has been done - good or bad.
Keep an eye on,Observe carefully to make sure something bad isn't done.
Keep at bay,Keep something away.
Keep body and soul together,Earn sufficient money in order to keep yourself alive.
Keep your chin up,Remain positive in a tough situation.
Khyber pass,Cockney rhyming slang for arse.
Kick the bucket,Die.
Kill two birds with one stone,Accomplish two things with a single action.
Knee jerk reaction,A quick and automatic response.
Knee trembler,Sexual intercourse between two people standing up.
Knock on wood,Knuckle tapping on wood in order to avoid bad luck or to continue having good luck.
Know the ropes,To understand how to do something.
Lame duck,"A person or thing that is no longer properly able to function. Also, more specifically, a person in authority, for example a president or prime minister, in their final period of office after a successor has already been elected."
Last but not least,"An introduction, intended to let the audience know that the last person mentioned is not the least important."
Last straw,"The last of a series of problems, which pushes one's endurance beyond its limits."
Lend me your ear,Politely ask for someones full attention.
Let bygones be bygones,Allow a disagreement or argument to be put in the past.
Let sleeping dogs lie,Avoid restarting a conflict.
Let the cat out of the bag,Share a secret that wasn't intended to be shared.
Let your hair down,Behave in a free an uninhibited manner. Usually applied to women.
Let's rewind,A suggestion that the thing under consideration has gone along unproductive lines and should be looked at again from the beginning.
Level playing field,Fair competition where no side has an advantage.
Like a chicken with its head cut off,In a frenzied manner.
Link rot,The tendency of WWW addresses to become out of date and point to unavailable pages.
Link farm,"A website that exists primarily to display links to another website, with the intention of improving the search status of the second site."
Liquor someone up,To supply or to drink alcoholic drink.
Little devil,"An exclamation of surprise and annoyance, directed at someone who has behaved badly or performed some kind of prank. Often applied to children."
Little fish in a big pond,Someone considered unimportant compared to their more significant peers.
Loaf of bread,Cockney rhyming slang for head.
Long in the tooth,Old.
Loose cannon,Someone who is unpredictable and can cause damage by being reckless.
Lord Fred,Cockney rhyming slang for bed.
Lose your head,Overcome by emotion and out of control.
Lose your touch,Lose an ability that you used to possess.
Magic mushroom,A type of mushroom with hallucinogenic properties - sometimes known as 'shrooms'.
Make a scene,Cause a disturbance.
Make no bones about,To state a fact so there are no doubts about it.
Man cave,A shed or some other retreat that men decorate in the way they choose (with or without their male friends) and use to relax in traditional male pursuits.
Many happy returns,A toast given to someone on their birthday.
Mate's rates,A discount price offered to friends.
Mea culpa,I'm to blame.
Mellow yellow,"Dried banana peel, used as an intoxicant."
Men in suits,Conventionally minded and dressed men who hold positions of authority. Also called just 'suits'.
Method to my madness,Odd actions that appear meaningless but are done for a good reason.
Mince pies,Cockney rhyming slang for eyes.
Mind your language,An admonition not to swear.
Miss the boat,Missed the chance to take an opportunity.
Mrs. Mop,traditional English name for a cleaning woman.
Mumbo jumbo,Nonsense or meaningless speech.
Mum's the word,Keep quiet. Say nothing.
Mutt and Jeff,Cockney rhyming slang for deaf.
My old china,Cockney rhyming slang for mate.
My old Dutch,Cockney rhyming slang for duchess.
Nail it,To perform something particularly well.
Nest egg,Savings set aside for future use.
Never-never land,A utopian dreamland.
New arrival,Colloquial term for a new-born baby.
New kid on the block,Someone new to the group or area.
New York minute,A short space of time.
Nine to five,"A standard office day, between 9am and 5pm. Often used to denote the boring nature of the weekly working routine."
Nip slip,The inadvertent exposure of a womans nipple.
Nitty-gritty,The important aspects of a situation; the heart of the matter.
No dice,A refusal to accept a proposition.
No room to swing a cat,An awkward or confined space.
No rush,Said to someone to indicate that you aren't in a hurry for them to complete their task.
No saint,Someone who might claim to be of good behaviour but has in fact a sordid past.
No spring chicken,Said of people who are no longer young but may behave as though they were.
Nose around,Investigate in an off-hand manner.
North and south,Cockney rhyming slang for mouth.
Not all there,Not in possession of one's mental faculties.
Not playing with a full deck,Someone who lacks intelligence.
Off one's rocker,Crazy; out of one's mind.
Off the hook,No longer having to deal with something.
Off the record,Something said in confidence that the one speaking doesn't want repeated.
Old chestnut,A story that has been told repeatedly and which has lost any originality.
On a hiding to nothing,"Faced with a hopeless situation, even after making one's best efforts."
On a wing and a prayer,In a difficult situation and reliant on luck to get out of it.
On cloud nine,Blissfully happy.
On the ball,With a good understanding of a situation and a readiness to act.
On the fence,Unwilling to give one's view about which side you support.
On the record,Something said in confidence that the one speaking is happy to have repeated.
On the same page,Several people agreeing.
On your Tod,Cockney rhyming slang for alone.
Once in a blue moon,A rare occurrence.
Open warfare,Engaged in active fighting or dispute.
Out of sight,Still used with its literal meaning of 'beyond the range of sight' but more commonly used in its hippie-era meaning of 'excellent; extraordinary'.
Out of the blue,Suddenly and unexpectedly.
Out on the town,Out enjoying oneself.
Over my dead body,Said when you absolutely refuse to allow something to happen.
Over the top,Excessive.
Paint the town red,Go on a boisterous or exuberant spree
Partner up,Find a companion.
Pass the buck,Avoid responsibility by giving it to someone else.
Pedal to the metal,"To go at full speed, when driving a vehicle."
Peachy keen,Excellent; wonderful.
Peeping Tom,Someone who covertly observes sexually active or naked people.
Peg out,"1. To die, especially to die of old age. 2. To complete a circuit of the board in the card game cribbage."
Pen and ink,Cockney rhyming slang for stink.
Perfect pitch,The ability to determine a musical note by ear.
Phone it in,Perform an act in an uncommitted disinterested manner.
Photo bomb,Spoil a photograph by unexpectedly appearing in the picture and taking the attention away from the intended subject - usually as a prank.
Pig out,To overeat in a slovenly manner.
Pig's ear,Cockney rhyming slang for beer.
Pigs might fly,Said when referring to something that is highly unlikely.
Pipe down,An instruction to shut-up or be quiet.
Plates of meat,Cockney rhyming slang for feet.
Play Devil's advocate,"A person who takes a contrary position from the one being presented, either for the sake of argument or to test the validity of the opposing point of view."
Play the field,Indulge in a series of sexual relationships.
Play safe,Avoid risk.
Pommy bashing,Australian slang term for physical or verbal attacks on the English.
Porky pies,Cockney rhyming slang for lies.
Potatoes (or taters) in the mould,Cockney rhyming slang for cold.
Potty mouth,A foul mouthed person.
Practice makes perfect,Diligent practice leads to expertise.
Prick up your ears,Listen very carefully - like a dog or horse with erect ears.
Pull the plug,Bring something to an end.
Pull the wool over someone's eyes,Deceive someone.
Pull your horns in,Become less ambitious; curb your enthusiasm.
Pulling your leg,Tricking someone as a joke.
Put a sock in it,An instruction to a noisy person or a group to be quiet.
Quality time,"Time spent with a child, spouse or friend in an uninterrupted and attentive way."
Queer street,"The imaginary location of people who have major problems in their life, especially debt. (Note: not a real place, nor connected to homosexuality)"
Queer the pitch,Ruin a plan or undertaking.
Rabbit and pork,Cockney rhyming slang for talk.
Rags to riches,From poverty to wealth.
Raining cats and dogs,Raining very heavily.
Red letter day,"A significant, important or happy day."
Red tape,"Bureaucracy, especially in public business."
Rest up,Take a break from one's efforts.
Revenge porn,The malicious posting of sexual images online to harm the reputation of an ex partner.
Riding shotgun,Riding in the front passenger seat of a car.
Ring fencing,Earmarking funds to guarantee a specific project can go ahead.
Rise and shine,Instruction to get out of bed and get ready for work.
Rome was not built in one day,Major and important projects take time.
Rosie Lea,Cockney rhyming slang for tea.
Ruby Murray,Cockney rhyming slang for curry.
Rule of thumb,A rough estimate.
Run out of steam,Completely out of energy.
Sad-ass,A reference to an inept or undesirable person or thing.
Salad days,The days of one's youthful inexperience and enthusiasm.
Saved by the bell,Saved by a last minute intervention.
Scarper Flow,Cockney rhyming slang for go.
Scot-free,Without payment.
Scrape together,"To manage, with difficulty, enough of what is needed - especially money."
Scrub up,Make an effort to present oneself well dressed and smartly turned out.
See eye to eye,When two or more people agree.
Sexton Blake,Cockney rhyming slang for fake.
Shoot down in flames,Destroy an argument or theory.
Shoot straight,To talk or deal honestly.
Shoot through,To leave or abscond.
Shovel ready,A building project in which all the preliminaries have been arranged.
Side boob,The side of a female breast revealed by skimpy clothing.
Silver bullet,A simple and seeming effortless solution to a difficult problem.
Silver fox,A handsome grey-haired man.
Silver surfer,An older person who uses the World Wide Web.
Silver threads amongst the gold,Blonde hair that is turning grey.
Silver tongued,Eloquent or persuasive manner of speech.
Sit tight,Wait and take do nothing until the time is right for action.
Sixth sense,An imaginary intuitive facility.
Skid row,The rundown area of a city inhabited by the destitute.
Smell a rat,To begin to suspect that things aren't as they should be.
Smell something fishy,Detect that something isn't as it should be.
Sniff test,Sniff an item of clothing (or food) to check if it might be suitable to wear (or eat).
Son of a gun,A rogue.
Sparrow fart,Jokey term for the early morning.
Spitting image,The exact likeness.
Spoiler alert,"Said, or printed, as a warning that the following will give away the ending or important plot development of a drama."
Steal someone's thunder,Hurt someone who was close to us by betraying them secretly and breaking their trust.
Steal someone's thunder,Take the credit for something someone else did.
Step up to the mark,Mark yourself ready to take responsibility.
Stitch up,"1. Put someone in difficulty, often by making it appear that they are to blame for a misdemeanour. 2. Repair with needle and thread."
Straight from the horse's mouth,Heard from the authoritative source.
Stranger things have happened,Said when the feasibility of some unlikely event is questioned.
Suck it up,Accept a bad situation.
Swing by,Drop in for a visit.
Swipe right,"(On the dating app Tinder) to indicate that you find someone unattractive by dragging one's finger to the right, across their screen image."
Syrup of figs,Cockney rhyming slang for wig.
Take a butchers,Cockney rhyming slang for look.
Take a raincheck,An offer that is declined now but may be reconsidered later.
Take with a grain of salt,Don't take what someone says too seriously - the the implication that it isn't true.
Talk of the devil!,Said when someone that you have just been talking about arrives.
Tea leaf,Cockney rhyming slang for thief.
That Friday feeling,Anticipation of the weekend after a hard working week.
That sucks,1. An expression of sympathy. 2. Said of something that the speaker rates very lowly.
The acid test,1. A scientific test to distinguish between gold and base metals. 2. A conclusive test to determine the validity of a claim.
